"filename", "language", "Python", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\login.html", "HTML", 0, 52, 0, 0, 0, 16, 68
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\marmita.html", "HTML", 0, 154, 0, 0, 3, 20, 177
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\modelo-adm.html", "HTML", 0, 89, 0, 0, 2, 18, 109
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\modelo.html", "HTML", 0, 93, 0, 0, 1, 13, 107
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\nova-senha.html", "HTML", 0, 31, 0, 0, 0, 6, 37
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\perfil.html", "HTML", 0, 67, 0, 0, 3, 14, 84
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\produto.html", "HTML", 0, 57, 0, 0, 14, 13, 84
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\recebePedido.html", "HTML", 0, 207, 0, 0, 3, 26, 236
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\relatorio.html", "HTML", 0, 82, 0, 0, 0, 12, 94
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\trocar-senha.html", "HTML", 0, 25, 0, 0, 0, 17, 42
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\usuario.html", "HTML", 0, 51, 0, 0, 2, 4, 57
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\verificacao-troca-senha.html", "HTML", 0, 54, 0, 0, 0, 10, 64
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\verificacao.html", "HTML", 0, 50, 0, 0, 0, 11, 61
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\usuario.py", "Python", 160, 0, 0, 0, 115, 58, 333
"Total", "-", 1917, 2211, 2903, 20, 799, 1840, 9690
